article_author,article_title,index_link,article_dt,article_text,article_IP,article_ncomments
ayokayok (Simon Wu),Re: [討論] 黃國昌 最大輸家 無誤,https://www.ptt.cc/bbs/HatePolitics/M.1689534031.A.E1D.html,Mon Jul 17 03:00:29 2023,民進黨這些料，不夠打死黃國昌，還會送他受政治迫害的悲情形象。超貸案很明顯，公職人員或其關係人，不得與公職人員服務或受其監督之機關團體為補助、買賣、租賃、承攬或其他具有對價之交易行為。陳明文找他兒子去貸農委會的專案貸款，這有什麼好說的？說是嘉義政府通過的所以合法，這…..？違建是小傷，但黃國昌是繼承來的，不是犯罪行為人，力道不太足隨便拿蔡總統家裡那個墓園來回應，家人的違建總不能也算在蔡總統頭上吧？ 難道要依照當時裁罰的範圍公開墓園？停車場打的不錯，但還是差了點，合法報稅，承租人違法，要地主負責說不過去，如果早一點開罰，然後黃國昌還裝死，這樣劇本就有說服力了黃國昌的爭議幾乎都有對照組可以安全下莊，最大輸家好像是燈泡媽跟呱吉！？--Sent from nPTT on my iPhone 14 Pro Max--,114.136.231.82 (臺灣),20
LEDG (雪),[討論] 為什麼都沒有政治人物幫謝淑薇加油,https://www.ptt.cc/bbs/HatePolitics/M.1689534280.A.229.html,Mon Jul 17 03:04:38 2023,怎麼都沒有政治人物幫謝淑薇加油更不用說去蹭她了女雙冠軍戰在台灣關注有這麼低嗎？大家趕快一起欣賞刺激的冠軍戰吧對了淑薇姐，今天的穿著看起來奶很大--,111.83.176.84 (臺灣),11
aleeon (    ),[討論] 716 CP值,https://www.ptt.cc/bbs/HatePolitics/M.1689534324.A.238.html,Mon Jul 17 03:05:22 2023,肥宅我最愛看CP值了這次716活動花費多少呢？三小時活動（節目）總共208萬同時最高現場人數約3萬（人流不知道，先忽略）網路瀏覽發文時間目前是YouTube 發燒#2 #5 #18 #30瀏覽量超過200萬直播同時觀看超過10萬首日成效每1000元成本可以創造：14.4現場最高人（非人流）961瀏覽量（增加中）48 直播最高同時觀看 （低估）延伸效果還沒計入這在行銷界怎麼看效果呢？--,49.217.71.195 (臺灣),33
IsaacNewton (IsaacNewton),Re: [黑特] 操你媽的柯粉,https://www.ptt.cc/bbs/HatePolitics/M.1689534419.A.CE4.html,Mon Jul 17 03:06:57 2023,我是不懂深綠燈粉在氣什麼啦深綠燈粉一直洗說這場遊行是柯文哲的造勢但柯文哲上台講話可完全沒講到任何選舉跟民眾黨的事情焦點就放在居住正義跟公平正義上面但是時力呢？燈泡媽上台根本是在宣傳時力的燈泡媽一上台就說居住正義時力早就有在推又說司法改革時力也有在推然後再說國民黨民眾黨爛，沒資格談公平正義只有我們時力有資格談公平正義我們時力才是最強的在野黨更不用說燈泡媽旁邊那個還穿時力黨服的到底是誰把這場遊行當成造勢啊？反正只要罵柯文哲政黑就高潮了是吧--,114.32.12.61 (臺灣),12
bache (.........),[討論] 其實今天的人數應該是有動員的,https://www.ptt.cc/bbs/HatePolitics/M.1689534512.A.BC3.html,Mon Jul 17 03:08:29 2023,不知道要說今天還昨天今天人數應該是有動員的幾個點一 抖音有中部遊覽車影片，坐滿人說自發性的但遊覽車錢誰付，我自己是認為民眾黨各地黨部及議員是有召集民眾，動員人數二 柯文哲在白沙屯媽祖，他自己思考說白沙屯媽祖如何成功，就先集結 在突破在集結 在突破 (這邊youtube可以收尋，他有在思考白沙屯媽祖為何成功)意思就是白沙屯一次集結 上新聞，明年更多人集結 上新聞，造就近幾年轟動崛起所以我覺得柯文哲民眾黨 有動員(雖然人沒想像多)，下次可以注意抖音看看，看有遊覽車坐滿人說自發性的嗎(也許po出來，下次抖音就沒敢po遊覽車了)--,111.246.183.214 (臺灣),38
yangzy (亞瑟),[討論] 團結台灣 下架綠班,https://www.ptt.cc/bbs/HatePolitics/M.1689534601.A.142.html,Mon Jul 17 03:09:59 2023,唯有我們台灣人團結起來才能下架塔綠斑，因此余以為明年總統的大選就是一場台灣人團結與不團結的選擇吧--台灣人不團結下架塔綠班，是台灣人輸,115.165.192.217 (臺灣),5
mark2326 (U質宅宅),Re: [黑特] 柯粉的輪廓,https://www.ptt.cc/bbs/HatePolitics/M.1689535342.A.94C.html,Mon Jul 17 03:22:20 2023,照綠綠們的說法那柯文哲的支持者要是文組才對啊文組比較難找得到工作文組的薪資比較低文組也比較買不起房子可是現實上大家都很清楚文組才是民進黨的大本營阿北的支持者就是理工人多不能以貌取人因為綠綠認為遊行的人顏值不高就說人家魯蛇顏值高不高跟收入沒有關係如果綠綠覺得來遊行的都是這麼慘的那民進黨該擔心了表示阿北的勢力滲透到文組來了--文組實際上就是就業比理工不利不然為何高中生優先選理工熱門理工級分也高於熱門文組文組最有錢的是商管類雖然科大仔他們比較不會讀書但是他們薪水也贏過台大不少文史哲社科不過技職是K黨大本營所以理工支持阿北法政社支持D黨那其他文組呢支持K黨？誰說賺贏別人的不能出去抗議有的人就只是純粹不爽這個政府只要有任何理由就會去抗議周遭很多過得不錯的一樣討厭政府啊因為就討厭覺青的嘴臉跟奇怪思想好好笑喔 想趁機偷換概念你這典型的綠綠戰法我很了解因為我以前就綠綠我是在嘲諷你們的邏輯如果成立那柯的支持者是文組不是理組,42.74.97.234 (臺灣),19
cheinshin (那就這樣吧),[討論] 我真的很喜歡那句話,https://www.ptt.cc/bbs/HatePolitics/M.1689529339.A.286.html,Mon Jul 17 01:42:17 2023,我真的很喜歡那句話是驢還是馬 牽出來遛遛就知道716前 網路聲量震天價響 因為DPP這下漏尿了 遊行至少10萬人跑不掉716當天哇咧幹 我看了三小？說2萬還真的高估了去過凱道參加過遊行或是造勢場的人就知道這不叫做秀肌肉 這叫做把自己的缺點全部洩漏給敵軍看國民黨大概也看出柯文哲有幾兩重了只能說 群眾運動真的不是每個人都能搞的--教主安安黃國昌喔 當時堅持說罷免要多票數決 DPP說要設門檻 黃還罵DPP算了啦 民進黨已經沒有把黃放在眼裡了,101.9.113.137 (臺灣),29
GGFACE (GGFACE),[討論] 我找到台南最真實民調了,https://www.ptt.cc/bbs/HatePolitics/M.1689529356.A.505.html,Mon Jul 17 01:42:34 2023,如題結果在25:20左右這個相當有參考性不像木炭問一堆年輕人這個問了足夠數量的公園老人防雷賴49 侯14 柯37賴差點過半老實講投票人數1400萬人的話賴還真有機會破700--,180.47.33.149 (日本),41
liunwaiqoo (角頭幫已逝),[討論] 邱顯智為什麼要穿黨服上台？,https://www.ptt.cc/bbs/HatePolitics/M.1689529855.A.BB4.html,Mon Jul 17 01:50:53 2023,今天上台講話的有很多政客包含KMT和民眾黨一堆人都有確實遵守規定沒有一個人穿著帶有政治圖騰的衣服上台邱顯智是唯一一位違反規定的人其他兩位燈泡媽和陳椒華也都沒有違反規定我不相信主辦單位沒有先跟時力講過有這規矩邱顯智是真的不知道這規定還是明明就知道仍執意穿著黨服上台？如果他是故意的為什麼他要這樣做他的用意為何？-----Sent from JPTT on my Samsung SM-S9010.--,123.193.161.121 (臺灣),50
Manzini (Manzini),[討論] 感覺阿北被設計 太早亮出陸戰底牌,https://www.ptt.cc/bbs/HatePolitics/M.1689529996.A.4D6.html,Mon Jul 17 01:53:14 2023,明明距離選舉還有很久竟然這時候就要亮出柯粉的組織結果被反綠陣營看破手腳藍營還有郭粉這些人明天開始就不會有想投柯就可以反綠的念頭反而會把目標指向郭董候這次大概率也是出局柯候 算是716的重災戶郭 會變成反綠力量下一個集結點柯太早亮出底牌被人家發現基本盤也就是如此而已還不及藍色隨便一個縣長的動員能力藍營不可能因為棄保去投柯也不會有意願找柯來站台了韓總後面一大票人也不可能跟柯合作所以九月之前這些力量都會慢慢跑到郭董-----Sent from JPTT on my iPhone--,101.136.6.77 (臺灣),40
KillAnnie (kill),[黑特] 操你媽的柯粉,https://www.ptt.cc/bbs/HatePolitics/M.1689530129.A.4F7.html,Mon Jul 17 01:55:27 2023,剛剛聽完王婉瑜的演講其實蠻想哭的他媽燈泡媽被台下噓聲講到最後只能用吼的你們柯粉到底是憑三小噓別人下台？你他媽館長當初怎麼講？我們不是造勢會遊行是為了反黑金 實現居住正義我操你媽白能黃不能是不是？操你媽整天垃圾不分藍綠你柯高貴不能檢驗是不是？要你就叫這場柯文哲造勢會你要噓燈泡媽我閉嘴你他媽這場是柯文哲造勢會嗎？他媽我只想問柯粉燈泡媽哪句講錯你們到底是憑三小他媽要就承認白色就是色違藍綠不要在那邊超越藍綠自以爲清流真他媽噁心講白啦 你們只想柯上台報復社會而已什麼白色理念真他媽噁心怎麼樣 哪句話說錯現在要開始噓我 噓塔綠班是不是？媽的垃圾柯粉--離你媽你有聽過原文嗎？全都是黑金和土地問題他是沒罵藍綠嗎？ 神 柯文哲 不能褻瀆是不是,42.79.163.152 (臺灣),132
seraphimm (),[黑特] 飛機杯業者想冠名阿北下次遊行,https://www.ptt.cc/bbs/HatePolitics/M.1689530210.A.936.html,Mon Jul 17 01:56:48 2023,不要笑，不唬爛，很認真剛我有時差的朋友說有業者看到今天的遊行想冠名阿北下次遊行，還可以派模特兒到現場發送小禮品讚聲生意人果然很利害，是不阿北要是經費有問題，演唱會見面會遊行造勢可以聯絡飛機杯冠名把今天遊行的圖片影片發給業者應該可以談個好價錢喔，可以試試--,39.14.50.26 (臺灣),6
freeclouds (創造自己新的人生),Re: [轉錄] 馬郁雯:踐踏新聞自由 不就黃國昌本人?,https://www.ptt.cc/bbs/HatePolitics/M.1689530331.A.FF7.html,Mon Jul 17 01:58:49 2023,反綠媒就是踐踏新聞自由怎麼以前黃國昌反紅媒的時候 你他媽垃圾三立就沒出來幫中天出來說反對X媒體的言論 就是踐踏新聞自由呢連日本人小笠原都認證了中天怎麼樣立場偏頗至少不會組政團直接干政 蔡旺旺也沒在國民黨有啥旺派民代你他媽的垃圾三立 還直接成立一個 湧言會 搞一個海派除了把政客直接納為主持人外 還直接讓自己電視台的主持人 被指定成為不分區立委干政干成這樣  整的電視台不但是有特定政黨立場 還政黨內的特定派系立場哩當初用政論節目 指責同黨裡面有十一寇(包含蕭美琴)這個垃圾電視台利用媒體資源 養自己老闆的政治勢力 難道不夠無恥真的有羞恥的記者 應該不會繼續在三立這種垃圾台工作了吧不過 我猜可能多智障記者都自己洗腦成塔綠斑 然後看著想從文傑老婆模式來登大位吧笑死--,1.200.162.124 (臺灣),3
samuel655200 (samuel655200),Re: [討論] 716不如預期，最大的戰略錯誤是？,https://www.ptt.cc/bbs/HatePolitics/M.1689530508.A.8EF.html,Mon Jul 17 02:01:46 2023,居住正義這議題實在太爛跟18歲投票權一樣嘴上都是支持心中想的是另回事手上有房或是已經繳房貸到一半的誰要打房再來真的想買房台北以外的地區一坪20萬的空房一大堆要買不可能買不到更別說股市噴成這樣台灣人最愛存股看看長榮跟緯創就不知道弄出多少個億萬富翁錢多到流出來很多人就跑去買房房價要怎麼不漲居住正義主打的客群就太小了除了特定政黨支持者想要趁機造勢誰要跟這議題？-----Sent from JPTT on my iPhone--,36.226.30.253 (臺灣),52
refrain5566 (refrain),[討論] 柯文哲只剩男權戰士這條路了！！,https://www.ptt.cc/bbs/HatePolitics/M.1689530712.A.EAA.html,Mon Jul 17 02:05:10 2023,柯粉見光死幾乎都是男生肥宅理工宅男一看就是大學理工學院那種整天看著手機笑呵呵的況且柯的人設越來越明朗 就是個右派沙文階級主義 歧視女性 理工科學  精英政治很符合右派男性的胃口韓國日本出這種候選人都是強棒尤其韓國公開反對女權的政治人物還受到青睞不論年紀 男生幾乎都會支持柯就豁出去吧反正女性票也拿不到了 不如專攻這些宅男韓國已經證明這樣也有機會了只差台灣男性覺醒了台灣很需要一個這樣的政治人物台灣版川普！！！！！柯文哲 最好的選擇！！！-----Sent from JPTT on my Xiaomi 21091116AG.--,39.9.170.111 (臺灣),45
KINMENKING (亂世狂刀),Re: [討論] 拜登親口説美國彈藥儲備不足以支撐烏克蘭了,https://www.ptt.cc/bbs/HatePolitics/M.1689530759.A.03F.html,Mon Jul 17 02:05:57 2023,美國以前面對的敵人是 步兵遊擊戰用一般的炮彈、飛彈 是大炮打小鳥，也因此美國的 集束彈藥 非常之多但是 集束彈藥 開放使用，就等於烏克蘭的「滅國之戰」開打簡而言之，美國陸軍沒彈藥能給烏克蘭了要軍火商量產，或是到黑市採購的價格都非常之高債台高築的美國，除了給烏克蘭集束彈藥，沒有別的方法了所以阿富汗三十萬大軍才會全面倒戈中國，就是知道最後的結局會是什麼烏克蘭人 以為可以 八國聯軍打爆俄國，掠奪俄國大量的資源，結果......--,1.174.40.50 (臺灣),7
MisuzuXD (戰鬥妖精夏珊),Re: [討論] 寫在716之後-關於時代力量與黃國昌,https://www.ptt.cc/bbs/HatePolitics/M.1689530821.A.35D.html,Mon Jul 17 02:06:59 2023,時力今天終於醒了回頭吃綠票老實說我是願意給這一票的我真的覺得時力粉很蠢當初早就說了跟TMD搶柯粉票是不可能贏的這些人再喜歡你們也只會投柯跟TMD根本不可能理你(除非今天柯沒創黨 那我覺得舔柯算合理選項)反而綠票還有機會拿尤其你之前都5%以上很大機率最後為了怕浪費票就集中投在有機會5%以上的黨其他小黨根本沒辦法和你競爭結果幾年前為了舔柯粉票把這些東西都放掉搞到快亡黨從時力2019小綠路線分歧以來我想你應該看清所謂的小綠很髒是假議題了吧時力清小綠清到要滅黨王婉諭上台藍綠白都罵一樣被說小綠不演了證明柯粉跟本只要不舔柯就小綠綠營從上次政黨票很低就已經有隱憂了第二任這四年累積的不滿也很多把這邊的票都拿起來不好嗎?今天遊行結果應該也可以讓時力下定決心放棄國昌了他的金身已破根本沒這麼多票(而且大部分是柯粉 根本看的到吃不到)再加上基進跟3Q分家很多人投基進也怕浪費票希望趕快把這些票都吃下來吧我真的不希望台灣除了民進黨以外的選擇竟然都是舔服貿的垃圾黨拜託給我一個正常國家都該有一致對外的政治環境吧--『狩獵是在補捉到獵物那一刻才是最危險的。　獵物越大出現的空檔也就越明顯。　回去重看《獵人》第3集之後再來吧，老太婆。』--,111.255.36.184 (臺灣),67
TsukimiyaAyu (ㄎㄎㄎㄎㄎㄎㄎㄎㄎㄎㄎ),[討論] 今天凱道比較臭還是電玩展？,https://www.ptt.cc/bbs/HatePolitics/M.1689530860.A.E7F.html,Mon Jul 17 02:07:38 2023,今天凱道看起來都是臭肥宅一臉處男樣有時間上凱道為什麼不去嫖妓或在家打手槍呢明天我上班會經過凱道不知道還有沒有今天的肥宅臭？--,114.136.195.119 (臺灣),18
Romeo5566 (羅密歐),[討論] Pretty tight 還有在參與公民運動嗎?,https://www.ptt.cc/bbs/HatePolitics/M.1689530900.A.5C1.html,Mon Jul 17 02:08:15 2023,以前有個pretty tight 好想很喜歡 參加街頭運動集會遊行之類的好像很投入 tight tight tightPT  716還有穿大號襯衫 捲起袖子 去嘶吼嗎??--,101.12.96.173 (臺灣),0
ota978 (流星),Re: [黑特] 操你媽的柯粉,https://www.ptt.cc/bbs/HatePolitics/M.1689530965.A.3A2.html,Mon Jul 17 02:09:23 2023,靠女兒悲劇 被民進黨提拔除了賣慘  你是什麼腳不去監督社會安全網 詐騙 黑金你去他媽的幹譙 打什麼在野柯的社子島他媽的 對的起 那些社會上弱勢的被害者嗎    誰叫你當黨的打手  立委很香嗎--他媽的 當黨的打手 他值得人尊重嗎假噴 來掩飾他的動機 說明他是個假掰的人,118.160.99.44 (臺灣),62
Bejita (Bejita),[討論] 苗博雅有參加716居住正義活動,https://www.ptt.cc/bbs/HatePolitics/M.1689531059.A.773.html,Mon Jul 17 02:10:57 2023,下午苗博雅參加完民進黨全代會後，傍晚去西門町舉辦居住正義演講，結果臉書過了8小時，留言人數不到35人，是因為今天禮拜天不用上班嗎？--,101.12.41.34 (臺灣),35
seraphimm (),[黑特] 《716仇女遊行，享譽全球》,https://www.ptt.cc/bbs/HatePolitics/M.1689531498.A.3EA.html,Mon Jul 17 02:18:16 2023,恭喜白粉達成一場無人能及的成就以往的大型遊行像韓粉常常夫妻結伴，闔家出遊太黃花還有標竿性的帶頭溫柔力量傳統的藍綠動員，阿公阿嬤雙全這次，無比的成就榮耀歸於蚵p從蚵p一貫的仇女意識，各種歧視引領起白粉白色力量的亢糞享譽勇奪飛機杯的光芒榮耀達成沙文仇女男的獨創遊行成就少數的參與女性還是反對白色的勇士上台的女性力量承受無禮的噓聲霸凌，勇敢說出自己，展現女性的堅強韌性台灣正經歷me too風暴，閹知沙文遊行在716猖獗橫行《716仇女遊行，享譽全球》就是只會罵的仇女遊行讓世界看見台灣，不當狗，也不當太監，好好當個人吧！！！--,39.14.50.26 (臺灣),19
mark2326 (U質宅宅),Re: [討論] 感覺阿北被設計 太早亮出陸戰底牌,https://www.ptt.cc/bbs/HatePolitics/M.1689531538.A.795.html,Mon Jul 17 02:18:56 2023,我記得2018年台北市長選舉柯文哲的11月初造勢以及選前一天造勢特別是這場綠綠嘲諷柯文哲的在場人數輸給姚文智丁守中四四南村確實也只有幾萬年青人在如果跟姚文智丁守中的場子比會覺得完了當時很多姚姚粉也嘲諷柯空氣票會被棄保照當時造勢人海理論上開票要是姚贏丁 丁再贏柯結果隔天開票結果去姚文智場子的差不多就是隔天全部投給姚文智的人了不能再多了而柯文哲大勝了姚文智34萬票這只能說明綠綠比較好動特別熱衷上街造勢--沒有公投動線亂讓很多年輕上班族無法有時間投票投票率更高不會只贏三千你這句話過去幾年很多人都嗆過我了事後證明是嗆的人幻想而不是我幻想柯文哲那一年幾乎一路民調領先對 高虹安選前一天比沈阿姨場子冷當時我在政黑版上面加油,42.74.97.234 (臺灣),96
jeanvanjohn (尚市長),Re: [討論] 燈泡是綠營派來搞臭遊行的暗樁吧,https://www.ptt.cc/bbs/HatePolitics/M.1689531915.A.AEA.html,Mon Jul 17 02:25:13 2023,"這個人早上在那裏說，黨會派黑道來破壞遊行:他還說，""讓我們看看下午會不會照我說的劇本走""結果事實證明，黨根本不用派黑道過來，某些人就自己丟臉了...只是很好笑的是，這種人居然還有臉跑出來發言.--""你要學會忍耐，哪怕周圍所有的人都不在了，只剩下你自己，你也要堅持到最後。""--<<祚明>>--",111.184.45.128 (臺灣),1
TsukimiyaAyu (ㄎㄎㄎㄎㄎㄎㄎㄎㄎㄎㄎ),[討論] 7/16完全是照妖鏡,https://www.ptt.cc/bbs/HatePolitics/M.1689532055.A.44D.html,Mon Jul 17 02:27:33 2023,1.柯粉看起來都是一些不入流的咖小要不是看起來就是窮酸肥宅 不然就是社會邊緣人2.黃國昌跟館長 還有人瞎挺一個岳父是建商 自己是地主一個是黑道戰組 思源路跑賭場的健身房股東也是一堆黑道這兩個喊居住正義跟反黑會去挺的真的都弱智從照片也可以看出來3.時代力量重回舔民進黨路線終於知道舔民進黨才有一點票雖然5%政黨票看起來是拿不到 可悲4.郭台銘 侯友宜都是炮灰國民黨初選誰贏都一樣郭台銘這種生意人口才爛成這樣--看了今天覺得柯文哲真的可以主打性別對立牌有本事就出來嗆說為什麼都男性上街頭？因為這個社會還是要求男性有車有房三小的男性才是被歧視的一群但我猜柯文哲不敢哈,114.136.195.119 (臺灣),34
gogoto990 (汪汪隊立大功),[討論] 下次遊行改大巨蛋不就好了,https://www.ptt.cc/bbs/HatePolitics/M.1689527027.A.529.html,Mon Jul 17 01:03:45 2023,最大容量可以容納五萬人有冷氣 有屋頂 免曬太陽還可以當成演唱會來辦順便宣揚阿北政績舞臺燈光一定比野外場好戰神國昌嘶吼起來 音場絕對讚爆下次改大巨蛋啦-----Sent from JPTT on my iPhone--,1.163.36.181 (臺灣),21
oftisa (oo),[討論] 會說一邊大太陽；一邊吹冷氣的是否沒邏輯,https://www.ptt.cc/bbs/HatePolitics/M.1689527266.A.E36.html,Mon Jul 17 01:07:44 2023,統媒開始帶風向，說一邊大太陽，另一邊卻在吹冷氣不等得苦民所苦等等但是國民黨、民眾黨難道開會的時候都把桌椅搬到凱達格蘭大道開會？根本不同類型的事情硬要說一邊曬太陽、一邊吹冷氣這是沒有邏輯？還是昧著良心混淆視聽、帶風向？統媒從來沒有在開主管會議的時候搬桌椅到凱道開會，卻帶這種惡毒的風向假如統媒從此以後都到凱道開會那就算了但是統媒絕對不會道歉，而且明天會繼續用這種歪理帶風向--,220.141.139.137 (臺灣),32
skylion (溫暖的傳說),[討論] 王婉諭好像在偷臭,https://www.ptt.cc/bbs/HatePolitics/M.1689527341.A.3CC.html,Mon Jul 17 01:08:59 2023,提到柯跟爭議人物交往時，那些人明明讓人第一個想到的不會是侵占國有地的問題但王卻故意都提到了他們有侵占國有地這感覺分明是在偷臭.....不知道某人聽到會不會心裡暴怒一波大家覺得王有那個意思嗎？XD--,101.9.113.240 (臺灣),89
tysh710320 (魯酸菌),[新聞] 年輕人覺得冤枉？ 潮牌推出「我不是柯粉,https://www.ptt.cc/bbs/HatePolitics/M.1689527535.A.B0E.html,Mon Jul 17 01:12:13 2023,自由年輕人覺得冤枉？ 潮牌推出「我不是柯粉」T恤引熱議！近日有潮牌出「我不是柯粉」潮T，引發熱議。（圖翻攝自「BAD BONE X 惡骨聯合」官網）2023/07/16 22:23〔即時新聞／綜合報導〕民眾黨總統參選人柯文哲比起民進黨推出的賴清德、國民黨侯友宜，較受到年輕族群青睞，但也讓年輕人容易被貼上「柯粉」標籤。沒想到近日有商人以此為商機，推出「我不是柯粉」潮T，引發熱議。，元，有寶藍、棗紅、藏青、黑、軍綠5種顏色供選擇。業者還在官網表示，「會做這款是聽說有年輕人覺得很冤枉，不是年輕就一定是柯粉啊！所以希望有人能出一件T恤來昭告天下啦。」國際合作發展基金會前副秘書長邵立中今天也在臉書分享這款潮T，「商人腦筋動得真快！我小兒子說他也要去買，因為年輕就被人當成柯粉，真的是蠻丢臉的事！新的社會氛圍正在形成......」。連這個也可以有商機XD  似乎又被柯粉出征了?柯粉不要邊罵又邊跑去買欸  ((為了跟女生打炮 偷偷穿這件不說了  身為有腦年輕人  我先去買7件 每天輪換--,118.161.236.34 (臺灣),104
Kbhuang (),[討論] 慟！凱道大遊行變成八卦臭酸魯蛇肥宅版聚,https://www.ptt.cc/bbs/HatePolitics/M.1689527562.A.2F4.html,Mon Jul 17 01:12:40 2023,大家覺得我這樣的形容貼切嗎？原本天天吵新聞什麼716凱道公平正義大遊行結果最後根本也沒什麼人要去主辦的黃國昌和館長平常就沒給大眾什麼公平正義的形象了鐵路警察被刺死初審嫌犯無罪也沒看到黃國昌出來義務幫李父伸冤館長我只知道平常常常在幹譙具體也不知道都在譙什麼賣便當不便宜也不會一天發幾十個敦親睦鄰給弱勢一下兩個幾年來和正義無法連結在一起的人突然要選舉了才出來喊公平正義最後演變成八卦版魯蛇肥宅凱道板聚連北車菲律賓印尼越南外傭聚會都比凱道香了令人不勝唏噓...--,39.12.8.193 (臺灣),11
larry8550 (貓板蜜獾),[討論] 燈泡媽也會AB稿嗎,https://www.ptt.cc/bbs/HatePolitics/M.1689527596.A.17A.html,Mon Jul 17 01:13:12 2023,燈泡媽fb貼的那段「在民進黨蔡英文總統執政下，居住正義幾乎變成髒話、幹話、笑話」事實上講出來的是「在民進黨的執政之下，我們看到居住正義幾乎等於了是髒話、等於是幹話、也等於是笑話」看著念看到三個字突然有咒語就唸不出聲了?是什麼不能說出口的那位嗎?  據說講了不管多遠都會被聽到--是蔡英文沒用  還是燈泡媽沒用  還是整個民進黨沒用?,219.70.184.41 (臺灣),26
online0801 (445),[討論] 剛從凱道回高雄,https://www.ptt.cc/bbs/HatePolitics/M.1689527620.A.CA3.html,Mon Jul 17 01:13:38 2023,我高鐵票上禮拜就買好了啦，今天起了大早直接過去，在火車站附近吃燒臘後就出發，大約13:50到現場，現場熱到一個舉紅旗的程度，太陽真的很大，比較晚到的都躲樹蔭啦，腦殘才會在景福門曬太陽。我在很前面，離搖滾區只有一點距離而已，主持人前面問有沒有高雄來的，我超級大聲的回有，附近的還被嚇到。整個過程就不贅述了，只能說黃國昌出來講話大家士氣upup，尤其柯p講話的時候鏡頭拍到國昌老師，大家都在笑。再來我講人數，16:30後，開始變陰天，躲在樹蔭的，就全跑出來了，包圍景福門是沒問題的，依我自己參加過遊行的經驗，用這次散場時間跟人流評估，我覺得這場應該有35000+，16:00前的確會擔心人是不是很少，因為真的非常非常熱，我從沒參加過一場遊行是這麼熱的，還有人熱到送醫，真的非常非常辛苦，如果時間好點人應該會多不少，如果是綠的辦的話，一樣的時間沒遊覽車我不相信人會多到哪。我現場比較多是影片，可惜不能上傳，大家就多包涵囉，有到場的大家還有跟直播的朋友都很棒，好久沒遊行了，今天很滿足，謝謝。-----Sent from JPTT on my iPhone--,42.75.54.32 (臺灣),278
arslanhs (亞斯藍),[討論] TVBS民調最新的是何時？,https://www.ptt.cc/bbs/HatePolitics/M.1689527755.A.50A.html,Mon Jul 17 01:15:53 2023,怎麼感覺又有陣子沒看到他們民調了是在等716遊行後才做嗎？不知道這次會做成怎樣，由這次遊行來看，感覺TMD都是鍵盤票居多，那些原本在跟柯曖昧的藍營候選人會不會乖乖回去支持侯侯？-----Sent from JPTT on my iPhone--,219.71.203.9 (臺灣),17
pp520 (異理啊議!!!),Re: [討論] 716這場辦完 誰傷最重？,https://www.ptt.cc/bbs/HatePolitics/M.1689527758.A.9BD.html,Mon Jul 17 01:15:56 2023,"5.  林飛帆最大的苦主 應該是林飛帆，想一想這一場年輕人，積極，熱情，滿場的年輕人，過去可是林飛帆的場子當年太陽花，PTT 登高一呼，帶領著 年輕學子，衝進立法院，年輕人的領袖林飛帆如果看到這景象，怎麼這麼多年輕人，但領袖居然不是我想到自己的號召力被取代，內心一定非常不舒服 !!!有人說時代力量上台不嘴民進黨，反而砲打柯文哲你要知道，這次選舉完，非常有可能時代力量就滅黨了，這是時力的最後一戰兇手是誰 ? 當然是柯文哲，原本時代力量的票大多是年輕人，現在全部跑去柯文哲那所以這是時代力量當然要趁這機會，最後一搏，臭幹譙柯文哲，把票搶回來看能否從柯那邊，把年輕人找回來但我覺得很難啦 !!  側翼就是側翼光看台下民眾喊著 ""小綠"" ，就知道民眾是很清醒的再來  遊行人數如果遊行人數決定勝負，韓國瑜就是總統了相信科學，相信民調，相信數據，相信趨勢會去遊行場合的，要馬是在地人很方便，要馬是很狂熱的信徒，專程參加大多數理性人，對政治不會如此熱衷的所以遊行人數是理論上是用來判斷 ""狂熱粉絲"" 的人數尤其是這麼嚴酷的遊行環境，會去的，一定都是 ""真愛""  ""死忠的""相信大多數人會在家裡吹冷氣，看直播--",114.34.152.71 (臺灣),38
tn00270144 (乂煞氣a夾小妹乂),Re: [討論] 王婉諭好像在偷臭,https://www.ptt.cc/bbs/HatePolitics/M.1689527849.A.458.html,Mon Jul 17 01:17:27 2023,鐘東錦土地盜採砂石可以說是事證明確當年也是時代力量瘋狂揪著這點打鐘最後放大絕我的土地租給別人了一切都有租賃契約別人要違法乾我屁事你們去找他啊最後鐘全身而退這些都可以在網路上找到相關新聞跟黃國昌對於土地解被違法搞成停車場解釋一模一樣你說有沒有臭看心態啦不要雙標的話兩者根本一模一樣--,114.45.209.72 (臺灣),12
oftisa (oo),[討論] 政府連冷氣開幾度都要管 比外役監還嚴,https://www.ptt.cc/bbs/HatePolitics/M.1689528061.A.E33.html,Mon Jul 17 01:20:59 2023,中華民國從來沒有改革過，一直維持黨國時代的獨裁思維尤其是黨國之女蔡英文上任後更是如魚得水連冷氣要開幾度都要管人民是白癡嗎？自己會熱、會冷自己知道，要開幾度自己決定就好了政府管到私人建物裡面是甚麼意思？--,220.141.139.137 (臺灣),10
